round_no, 20
NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=0.815s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=54.55.205.235,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.567s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=55.164.172.89,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=0.708s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=102.172.128.225,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.121s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=190.177.37.121,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.37s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=15.250.12.6,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.611s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=15.110.37.129,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.326s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=52.239.20.102,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.708s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=43.147.175.168,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=0.433s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=17.12.67.150,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.234s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=155.135.82.82,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
